id,paes,idioma,cap,comune,regione,provincia,provinciasigla,latitudine,longitudine
101,IT,IT,57,Fiumicino,Lazio,Roma,RM,41.84988371,12.24447531
102,IT,IT,58,Santa Marinella,Lazio,Roma,RM,42.05876902,11.90066468
103,IT,IT,59,Tolfa,Lazio,Roma,RM,42.15497177,11.93821326
104,IT,IT,60,Canale Monterano,Lazio,Roma,RM,42.13936742,12.10369602
105,IT,IT,60,Capena,Lazio,Roma,RM,42.14599587,12.54271299
106,IT,IT,60,Castelnuovo di Porto,Lazio,Roma,RM,42.12891931,12.5028063
107,IT,IT,60,Civitella San Paolo,Lazio,Roma,RM,42.20343201,12.5786794
108,IT,IT,60,Filacciano,Lazio,Roma,RM,42.2595322,12.60015029
109,IT,IT,60,Formello,Lazio,Roma,RM,42.08021622,12.40062492
110,IT,IT,60,Magliano Romano,Lazio,Roma,RM,42.16268211,12.43772874
111,IT,IT,60,Mazzano Romano,Lazio,Roma,RM,42.2082678,12.40076959
112,IT,IT,60,Nazzano,Lazio,Roma,RM,42.23510927,12.59823699
113,IT,IT,60,Ponzano Romano,Lazio,Roma,RM,42.2586702,12.57161231
114,IT,IT,60,Riano,Lazio,Roma,RM,42.1045237,12.50770496
115,IT,IT,60,Sacrofano,Lazio,Roma,RM,42.10768014,12.44795798
116,IT,IT,60,Sant'Oreste,Lazio,Roma,RM,42.23504859,12.51931297
117,IT,IT,60,Torrita Tiberina,Lazio,Roma,RM,42.24113298,12.61605012
118,IT,IT,61,Anguillara Sabazia,Lazio,Roma,RM,42.09535065,12.27068235
119,IT,IT,62,Bracciano,Lazio,Roma,RM,42.10775262,12.17676952
120,IT,IT,63,Campagnano di Roma,Lazio,Roma,RM,42.1427718,12.38063865
121,IT,IT,65,Fiano Romano,Lazio,Roma,RM,42.17376244,12.59139193
122,IT,IT,66,Manziana,Lazio,Roma,RM,42.1342082,12.12766226
123,IT,IT,67,Morlupo,Lazio,Roma,RM,42.14926048,12.49907282
124,IT,IT,68,Rignano Flaminio,Lazio,Roma,RM,42.21028099,12.48118093
125,IT,IT,69,Trevignano Romano,Lazio,Roma,RM,42.16230611,12.24284354
